,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
73,Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ,52602.0,6300.0,40.8897001,-74.2720345,"632 US Highway 46, Fairfield, NJ",52602.0,6300.0,56.52,36.32,46.22,0.29,15.73,34.84,,43.5,19.05
74,Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ,52602.0,6300.0,40.8897001,-74.2720345,"632 US Highway 46, Fairfield, NJ",110303.0,7671.0,48.25,95.62,0.0,3.38,6.11,47.43,,46.4,21.08
75,Fair Lawn Promanade,40.94,-74.13,16-31 state route 208,,,Fairlawn,NJ,,,40.9431067,-74.1287913,"16-31 state route 208, Fairlawn, NJ",,,,,,,,,,,
76,240 Route 202 - Flemington,40.49,-74.86,240 Route 202,,,Flemington,NJ,60869.0,4650.0,40.4904566,-74.862088,"240 Route 202, Flemington, NJ",60869.0,4650.0,48.92,72.86,1.89,13.96,33.27,48.8,,37.2,23.76
77,Florham Park,40.79,-74.39,184 Columbia Turnpike,,,Florham Park,NJ,123266.0,11792.0,40.7899517,-74.3930374,"184 Columbia Turnpike, Florham Park, NJ",123266.0,11792.0,47.18,83.75,4.27,10.85,6.65,53.12,,44.6,15.25
78,Forked River Travel Plaza-Gdn St. P,39.87,-74.21,Garden State Parkway,Mile Marker 74.5,,Forked River,NJ,,,39.9829871,-74.2135065,"Garden State Parkway, Forked River, NJ",,,,,,,,,,,
79,Acme - Fort Lee #1065,40.86,-73.97,2160 Lemoine Ave,,,Fort Lee,NJ,76578.0,37058.0,40.8560522,-73.96639019999999,"2160 Lemoine Ave, Fort Lee, NJ",76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
80,Fort Lee - Linwood Plaza,40.86,-73.97,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ,76578.0,37058.0,40.8612935,-73.97044530000001,"136-38 Linwood Plaza, Fort Lee, NJ",76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
81,"Fort Lee, Bergen Blvd.",40.86,-73.98,1616 Bergen Blvd.,,,Fort Lee,NJ,76578.0,37058.0,40.85553580000001,-73.9830537,"1616 Bergen Blvd., Fort Lee, NJ",76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
82,"Fort Lee, Route 4 E",40.86,-73.97,2215 SR-4 East,,,Fort Lee,NJ,76578.0,37058.0,40.86381739999999,-73.9752079,"2215 SR-4 East, Fort Lee, NJ",76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
83,Lemoine Ave.,40.85,-73.97,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ,76578.0,37058.0,40.84928439999999,-73.9709274,"1605 Lemoine Ave., Fort Lee, NJ",76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
84,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,41.1088992,-74.5808595,"111 Rt. 23 South, Franklin, NJ",57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97
85,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,41.1088992,-74.5808595,"111 Rt. 23 South, Franklin, NJ",81057.0,16579.0,51.26,83.85,6.76,2.45,6.88,50.07,,44.1,21.83
86,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,41.1088992,-74.5808595,"111 Rt. 23 South, Franklin, NJ",90648.0,3105.0,50.82,95.85,0.48,1.67,2.51,52.62,,46.0,22.0
87,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,41.1088992,-74.5808595,"111 Rt. 23 South, Franklin, NJ",108309.0,3234.0,46.94,98.89,0.0,0.34,4.08,53.4,,49.1,20.66
88,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,41.1088992,-74.5808595,"111 Rt. 23 South, Franklin, NJ",93264.0,65999.0,48.86,45.03,27.05,22.49,13.6,51.86,31.0,48.3,19.48
89,Franklin Lakes,40.99,-74.21,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ,155458.0,10953.0,40.9952229,-74.2132768,"816 High Mountain Rd., Franklin Lakes, NJ",155458.0,10953.0,49.69,85.34,1.78,8.49,7.62,46.32,,48.9,23.14
90,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin Park,NJ,,,40.4294488,-74.5589589,"3333 Rt. 27, Franklin Park, NJ",,,,,,,,,,,
91,Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2102494,-74.2576694,"621 U.S Highway 9, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
92,Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2102494,-74.2576694,"621 U.S Highway 9, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
93,Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2579141,-74.2902788,"3981 US Highway 9, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
94,Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,99827.0,35429.0,40.2579141,-74.2902788,"3981 US Highway 9, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
95,Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827.0,35429.0,40.2546296,-74.298621,"3710 Route 9, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
96,Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827.0,35429.0,40.2546296,-74.298621,"3710 Route 9, Freehold, NJ",57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
97,Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ,99827.0,35429.0,40.240545,-74.3053817,"11 Village Center Drive, Freehold, NJ",99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
